"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"R101"	"R102"	"R103"	"R104"	"R105"	"R106"	"R107"	"R108"	"R109"	"R110"	"R111"	"R112"	"R113"	"R114"	"R115"	"R116"	"R117"	"R118"	"R119"	"R120"	"R121"	"R122"	"R123"	"R124"	"R125"	"R126"	"R127"	"R128"	"R129"	"R130"	"R131"	"R132"	"R139"	"R140"	"R141"	"R142"	"R133"	"R143_01"	"R144_01"	"P001_01"	"P001_01a"	"P002_01"	"P002_01a"	"P003_01"	"P003_01a"	"P004_01"	"P004_01a"	"P005_01"	"P005_01a"	"P006_01"	"P006_01a"	"P007_01"	"P007_01a"	"P008_01"	"P008_01a"	"P009_01"	"P009_01a"	"P010_01"	"P010_01a"	"P011_01"	"P011_01a"	"P012_01"	"P012_01a"	"P013_01"	"P013_01a"	"P014_01"	"P014_01a"	"P015_01"	"P015_01a"	"P016_01"	"P016_01a"	"P017_01"	"P017_01a"	"P018_01"	"P018_01a"	"P019_01"	"P019_01a"	"P020_01"	"P020_01a"	"P021_01"	"P021_01a"	"P022_01"	"P022_01a"	"P023_01"	"P023_01a"	"P024_01"	"P024_01a"	"P025_01"	"P025_01a"	"P026_01"	"P026_01a"	"P027_01"	"P027_01a"	"P028_01"	"P028_01a"	"P029_01"	"P029_01a"	"P030_01"	"P030_01a"	"P031_01"	"P031_01a"	"P032_01"	"P032_01a"	"P033_01"	"P033_01a"	"P034_01"	"P034_01a"	"P035_01"	"P035_01a"	"P036_01"	"P036_01a"	"P037_01"	"P037_01a"	"P038_01"	"P038_01a"	"P039_01"	"P039_01a"	"P040_01"	"P040_01a"	"P041_01"	"P041_01a"	"P042_01"	"P042_01a"	"P043_01"	"P043_01a"	"P044_01"	"P044_01a"	"P045_01"	"P045_01a"	"P046_01"	"P046_01a"	"P047_01"	"P047_01a"	"P048_01"	"P048_01a"	"P049_01"	"P049_01a"	"P050_01"	"P050_01a"	"P051_01"	"P051_01a"	"P052_01"	"P052_01a"	"P053_01"	"P053_01a"	"P054_01"	"P054_01a"	"P055_01"	"P055_01a"	"P056_01"	"P056_01a"	"P057_01"	"P057_01a"	"P058_01"	"P058_01a"	"P059_01"	"P059_01a"	"P060_01"	"P060_01a"	"P061_01"	"P061_01a"	"P062_01"	"P062_01a"	"P063_01"	"P063_01a"	"P064_01"	"P064_01a"	"P065_01"	"P066_01"	"P067_01"	"P067_01a"	"D201_01"	"D201_01a"	"D202_01"	"D202_01a"	"D203_01"	"D203_01a"	"D204_01"	"D204_01a"	"D205_01"	"D205_01a"	"D206_01"	"D206_01a"	"D207_01"	"D207_01a"	"D208_01"	"D208_01a"	"D209_01"	"D209_01a"	"D210_01"	"D210_01a"	"D211_01"	"D211_01a"	"D212_01"	"D212_01a"	"D213_01"	"D213_01a"	"D214_01"	"D214_01a"	"D215_01"	"D215_01a"	"D216_01"	"D216_01a"	"D217_01"	"D217_01a"	"D218_01"	"D218_01a"	"D219_01"	"D219_01a"	"D220_01"	"D220_01a"	"D221_01"	"D221_01a"	"D222_01"	"D222_01a"	"D223_01"	"D223_01a"	"D224_01"	"D224_01a"	"D225_01"	"D225_01a"	"D226_01"	"D226_01a"	"D227_01"	"D227_01a"	"D228_01"	"D228_01a"	"D229_01"	"D229_01a"	"D230_01"	"D230_01a"	"D231_01"	"D231_01a"	"D232_01"	"D232_01a"	"D233_01"	"D233_01a"	"D234_01"	"D234_01a"	"D235_01"	"D235_01a"	"D236_01"	"D236_01a"	"D237_01"	"D237_01a"	"D238_01"	"D238_01a"	"D239_01"	"D239_01a"	"D240_01"	"D240_01a"	"D241_01"	"D241_01a"	"D242_01"	"D242_01a"	"D243_01"	"D243_01a"	"D244_01"	"D244_01a"	"D245_01"	"D245_01a"	"D246_01"	"D246_01a"	"D247_01"	"D247_01a"	"D248_01"	"D248_01a"	"D249_01"	"D249_01a"	"D250_01"	"D250_01a"	"D251_01"	"D251_01a"	"D252_01"	"D252_01a"	"D253_01"	"D253_01a"	"D254_01"	"D254_01a"	"D255_01"	"D255_01a"	"D256_01"	"D256_01a"	"D259_01"	"D259_01a"	"D260_01"	"D260_01a"	"D261_01"	"D261_01a"	"D262_01"	"D262_01a"	"D257_01"	"D258_01"	"D263_01"	"D263_01a"	"D264_01"	"D264_01a"	"ZZ01"	"ZZ01_03"	"ZZ02_01"	"ZZ03_01"	"TIME001"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME023"	"TIME024"	"TIME025"	"TIME026"	"TIME027"	"TIME028"	"TIME029"	"TIME030"	"TIME031"	"TIME032"	"TIME033"	"TIME034"	"TIME035"	"TIME036"	"TIME037"	"TIME038"	"TIME039"	"TIME040"	"TIME041"	"TIME042"	"TIME043"	"TIME044"	"TIME045"	"TIME046"	"TIME047"	"TIME048"	"TIME049"	"TIME050"	"TIME051"	"TIME052"	"TIME053"	"TIME054"	"TIME055"	"TIME056"	"TIME057"	"TIME058"	"TIME059"	"TIME060"	"TIME061"	"TIME062"	"TIME063"	"TIME064"	"TIME065"	"TIME066"	"TIME067"	"TIME068"	"TIME069"	"TIME070"	"TIME071"	"TIME072"	"TIME073"	"TIME074"	"TIME075"	"TIME076"	"TIME077"	"TIME078"	"TIME079"	"TIME080"	"TIME081"	"TIME082"	"TIME083"	"TIME084"	"TIME085"	"TIME086"	"TIME087"	"TIME088"	"TIME089"	"TIME090"	"TIME091"	"TIME092"	"TIME093"	"TIME094"	"TIME095"	"TIME096"	"TIME097"	"TIME098"	"TIME099"	"TIME100"	"TIME101"	"TIME102"	"TIME103"	"TIME104"	"TIME105"	"TIME106"	"TIME107"	"TIME108"	"TIME109"	"TIME110"	"TIME111"	"TIME112"	"TIME113"	"TIME114"	"TIME115"	"TIME116"	"TIME117"	"TIME118"	"TIME119"	"TIME120"	"TIME121"	"TIME122"	"TIME123"	"TIME124"	"TIME125"	"TIME126"	"TIME127"	"TIME128"	"TIME129"	"TIME130"	"TIME131"	"TIME132"	"TIME133"	"TIME134"	"TIME135"	"TIME136"	"TIME137"	"TIME138"	"TIME139"	"TIME140"	"TIME141"	"TIME142"	"TIME143"	"TIME144"	"TIME145"	"TIME146"	"TIME147"	"TIME148"	"TIME149"	"TIME150"	"TIME151"	"TIME152"	"TIME153"	"TIME154"	"TIME155"	"TIME156"	"TIME157"	"TIME158"	"TIME159"	"TIME160"	"TIME161"	"TIME162"	"TIME163"	"TIME164"	"TIME165"	"TIME166"	"TIME167"	"TIME168"	"TIME169"	"TIME170"	"TIME171"	"TIME172"	"TIME173"	"TIME174"	"TIME175"	"TIME176"	"TIME177"	"TIME178"	"TIME179"	"TIME180"	"TIME181"	"TIME182"	"TIME183"	"TIME184"	"TIME185"	"TIME186"	"TIME187"	"TIME188"	"TIME189"	"TIME190"	"TIME191"	"TIME192"	"TIME193"	"TIME194"	"TIME195"	"TIME196"	"TIME197"	"TIME198"	"TIME199"	"TIME200"	"TIME201"	"TIME202"	"TIME203"	"TIME204"	"TIME205"	"TIME206"	"TIME207"	"TIME208"	"TIME209"	"TIME210"	"TIME211"	"TIME212"	"TIME213"	"TIME214"	"TIME215"	"TIME216"	"TIME217"	"TIME218"	"TIME219"	"TIME220"	"TIME221"	"TIME222"	"TIME223"	"TIME224"	"TIME225"	"TIME226"	"TIME227"	"TIME228"	"TIME229"	"TIME230"	"TIME231"	"TIME232"	"TIME233"	"TIME234"	"TIME235"	"TIME236"	"TIME237"	"TIME238"	"TIME239"	"TIME240"	"TIME241"	"TIME242"	"TIME243"	"TIME244"	"TIME245"	"TIME246"	"TIME247"	"TIME248"	"TIME249"	"TIME250"	"TIME251"	"TIME252"	"TIME253"	"TIME254"	"TIME255"	"TIME256"	"TIME257"	"TIME258"	"TIME259"	"TIME260"	"TIME261"	"TIME262"	"TIME263"	"TIME264"	"TIME265"	"TIME266"	"TIME267"	"TIME268"	"TIME269"	"TIME270"	"TIME271"	"TIME272"	"TIME273"	"TIME274"	"TIME275"	"TIME276"	"TIME277"	"TIME278"	"TIME279"	"TIME280"	"TIME281"	"TIME282"	"TIME283"	"TIME284"	"TIME285"	"TIME286"	"TIME287"	"TIME288"	"TIME289"	"TIME290"	"TIME291"	"TIME292"	"TIME293"	"TIME294"	"TIME295"	"TIME296"	"TIME297"	"TIME298"	"TIME299"	"TIME300"	"TIME301"	"TIME302"	"TIME303"	"TIME304"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
498			"base"	"admin"	2020-09-15 17:54:07	4	3	3	3	4	3	3	3	4	4	3	3	3	4	4	3	4	3	3	3	3	3	4	3	4	3	3	3	3	4	3	4					3			2	36																																																																																																																																			1	2173																																																																																																																																		2	19	14	1	1	2	0	1	0	2	0	1	1	1	0	1	3	1	1	1	1	2	0	2	0	2	0	2	0	2	0	2	0	1	1	1	1	2	0	1	0	1	0	1	0	1	0	2	0	2	0	1	1	2	24	1	1	1	1	1	0	2	2	2	0	2	0	2	0	2	0	1	1	2	0	1	1	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	1	0	2	0	2	0	2	0	2	0	2	0	2	77	1	1	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	3	2	0	4	2	2	1	1	1	2	0	1	1	1	1	3	0	1	0	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	7	2	2	3	77	2	3	1	3	2	2	2	5	1	2	2	1	3	1	2	4	2	2	1	5	1	2	2	2	2	2	2	2	3	2	2	56	2	2	2	2	2	2	2	2	2	6	2	1	2	2	2	2	2	4	1	2	2	3	1	2	1	2	2	4	1	3	2	1	1	2	1	3	1	10	2	2	2	2	1	3	1	1	1	3	1	2	2	2	1	3	1	2	2	3	2	1	1	3	2	3	2	2	2	1	1	43	2	2	2	5	2	1	2	4	2	2	12																			468		2020-09-15 18:06:31	T	F	286	286	0	0	1.78	133
505			"base"	"pretest"	2020-09-15 18:15:42	3	3	3	4	1	3	4	3	3	4	2	3	1	3	3	4	4	3	4	4	3	3	2	4	3	4	2	4	4	4	1	3					3			1	260																																																																																																																																			1	390																																																																																																																																	5	3	19	3	2	0	2	0	2	0	2	1	1	1	2	1	2	0	2	0	2	0	2	1	1	1	1	1	1	1	2	0	2	0	1	1	1	1	2	0	1	1	2	0	2	0	1	1	1	1	2	1	2	1	2	0	2	0	2	0	1	1	2	1	1	1	1	1	2	3	2	0	2	0	2	0	2	0	2	1	2	0	2	0	2	0	2	0	2	0	2	1	2	0	2	0	2	1	1	1	2	0	2	0	1	1	1	1	1	1	2	0	2	1	2	0	2	0	2	1	1	1	2	1	2	0	1	1	2	0	1	1	5	2	2	2	2	1	2	2	1	2	2	4	2	2	3	1	2	2	2	1	3	1	2	3	2	2	2	3	1	1	2	2	2	2	2	1	2	2	2	76	2	1	1	0	2	0	2	0	1	1	2	0	2	0	2	1	2	1	1	0	1	1	2	1	2	1	2	0	2	0	2	1	2	1	2	1	1	1	2	0	2	1	3	1	2	0	2	1	2	0	2	0	2	0	2	1	1	1	2	1	2	1	1	1	2	1	1	1	3	1	3	0	2	0	2	1	1	0	2	1	2	0	2	0	1	0	1	1	1	1	2	0	1	4	3	0	2	0	2	0	2	0	2	0	1	1	2	0	2	0	2	0	48																			396		2020-09-15 18:24:14	T	F	286	286	0	0	1.92	140
507			"base"	"pretest"	2020-09-15 18:24:37	4	3	3	3	3	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4					3			1	316																																																																																																																																			2	25																																																																																																																																	2	2	21	1	2	0	2	1	2	1	3	0	2	0	2	8	3	0	4	1	2	0	2	1	2	1	2	1	3	0	2	0	3	0	2	1	2	0	2	103	2	1	2	1	2	1	2	0	2	0	2	1	3	0	3	1	2	0	3	0	2	1	2	8	2	0	2	1	3	0	2	1	2	1	2	0	2	0	2	0	2	3	2	1	2	35	2	1	2	0	2	1	2	1	2	2	2	1	2	0	2	1	2	0	2	1	2	0	2	1	2	1	2	2	2	3	2	0	3	0	2	1	2	1	2	1	2	1	3	0	3	0	4	4	2	2	3	2	2	1	1	1	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	3	2	2	2	3	1	1	2	2	1	4	2	3	2	76	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	1	1	2	0	3	0	3	0	2	0	3	0	3	0	3	0	3	0	2	1	2	0	3	0	2	1	3	0	3	0	2	1	2	0	2	1	2	0	2	0	2	0	2	0	2	0	2	0	2	0	3	0	2	0	1	1	2	0	2	0	2	0	2	0	2	0	2	1	2	0	2	0	1	0	2	1	2	1	3	0	2	0	2	0	3	0	2	0	3	0	2	1	2	0	2																			440		2020-09-15 18:35:35	T	F	286	286	0	0	1.82	153
509			"base"	"pretest"	2020-09-15 18:35:58																																																																																																																																																																																																																																																																																																														3																																																																																																																																																																							2	1	3	1	4							2	1			2	1																	2	1																									1	1	1	1					2	0																					1	1											2	0																																		33		2020-09-15 18:36:31	F	F	173	271	0	0	2.27	120
510			"base"	"admin"	2020-09-15 19:36:46																																																																																																																																																																																																																																																																																																														1	2	19	3																																																																																	2	1																																																																																						1																																																																																																																																				29		2020-09-15 19:37:15	F	F	173	173	0	0	2.17	190
521			"base"	"pretest"	2020-09-16 17:06:49	4	3	4	4	3	3	3	3	4	3	4	3	3	3	4	3	3	4	4	3	3	4	4	4	3	3	3	4	3	3	3	3					3			2	356																																																																																																																																			2	2590																																																																																																																																	1331	19	20	66	2	1	1	2	4	3	1	1	2	1	2	2	2	1	2	1	2	1	2	1	2	2	2	1	2	1	2	2	2	0	1	2	1	2	2	1	2	1	2	1	2	1	2	2	2	3	2	3	1	3	2	0	2	1	2	2	2	1	2	2	1	1	2	2	2	0	2	2	1	1	2	2	2	1	2	2	2	0	2	1	2	2	2	1	2	1	2	1	2	1	1	3	2	2	2	2	2	2	2	187	2	1	2	2	2	1	2	3	2	1	2	2	2	1	1	3	1	1	2	1	2	2	1	1	2	2	1	0	99	12	8	3	3	2	3	3	4	4	4	3	4	5	3	6	3	2	3	74	3	3	5	2	4	3	4	4	3	4	4	3	3	4	4	223	2	2	19	77	2	3	1	1	2	1	2	3	2	1	1	2	2	2	3	2	2	3	2	1	2	1	3	2	2	0	2	1	2	2	2	2	2	0	2	1	2	1	2	1	3	1	3	0	2	1	3	1	2	0	2	2	3	0	2	0	2	90	2	0	1	2	2	1	2	1	1	1	2	2	2	1	2	9	2	1	1	1	2	2	2	1	2	2	1	3	2	1	2	1	2	3	2	0	2	3	2	1	1	1	2	1	2	0	2	0	2	2	2	3	2	3	55																			699		2020-09-16 17:53:27	T	F	286	286	0	0	1.29	44
525			"base"	"pretest"	2020-09-16 17:54:23																																					4																																																																																																																																																																																																																																																																									3																																																																																																																																				6	3																																																																																																																																																																										12		2020-09-16 17:54:35	F	F	135	135	0	0	2.61	108
534			"base"	"admin"	2020-09-17 17:00:56																																																																																																																																																																																																																																																																																																										-9																																																																																																																																																																																																																																																																																																	6																		6		2020-09-17 17:01:03	F	F	287	287	100	100	0.33	0
535			"base"	"admin"	2020-09-17 17:01:40																																																																																																																																																																																																																																																																																																										3	"Blue"	77																																																																																																																																																																																																																																																																																															11																		11		2020-09-17 17:01:51	T	F	287	287	0	0	0.18	0
537			"base"	"admin"	2020-09-17 17:03:40																																																																																																																																																																																																																																																																																																										3	"1233"																																																																																																																																																																																																																																																																																															11																			11		2020-09-17 17:03:51	F	F	286	286	33	37	0.27	0
538			"base"	"admin"	2020-09-17 17:04:54																																																																																																																																																																																																																																																																																																										-9																																																																																																																																																																																																																																																																																																6	5																		11		2020-09-17 17:05:05	T	F	287	287	100	100	0.45	0
539			"base"	"admin"	2020-09-17 17:11:51																																																																																																																																																																																																																																																																																																													"PRE: 3; RME: 1; Darts: 2"																																																																																																																																					2																																																																																																																																																																											2		2020-09-17 17:11:53	F	F	134	134			3	225
540			"base"	"admin"	2020-09-17 17:19:12																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0		2020-09-17 17:19:12	F	F	0	0				100
541			"base"	"admin"	2020-09-17 17:20:42																																																																																																																																																																																																																																																																																																													"RPD"																																																																																																																																																																																																																																																																																																																0		2020-09-17 17:20:42	F	F	0	0				100
