Trial,StimulusType_Con_1_Inc_2_Nt_3,CorrectFinger,Sync_1_Async_2,ResponseCorrect,ReactionTime,FiXDuration
1,1,1,2,0,0,0
2,1,2,1,0,0,0
3,2,2,2,0,0,0
4,1,1,2,0,0,0
5,1,2,1,0,0,0
6,1,1,1,0,0,0
7,3,2,1,0,0,0
8,2,2,2,0,0,0
9,2,2,1,0,0,0
10,2,2,2,0,0,0
11,1,2,2,0,0,0
12,1,2,2,0,0,0
13,1,2,2,0,0,0
14,2,2,1,0,0,0
15,2,1,1,0,0,0
16,3,2,1,0,0,0
17,1,2,2,0,0,0
18,2,2,1,0,0,0
19,2,1,1,0,0,0
20,3,1,2,0,0,0
21,3,1,1,0,0,0
22,1,1,2,0,0,0
23,1,2,2,0,0,0
24,1,2,2,0,0,0
25,2,2,1,0,0,0
26,1,2,1,0,0,0
27,2,2,1,0,0,0
28,1,2,1,0,0,0
29,2,2,1,0,0,0
30,2,2,2,0,0,0
31,1,2,1,0,0,0
32,3,2,2,0,0,0
33,2,1,2,0,0,0
34,3,2,1,0,0,0
35,2,1,2,0,0,0
36,1,1,1,0,0,0
37,2,2,2,0,0,0
38,3,1,1,0,0,0
39,2,2,2,0,0,0
40,1,2,2,0,0,0
41,2,2,1,0,0,0
42,1,2,1,0,0,0
43,2,1,1,0,0,0
44,2,2,2,0,0,0
45,2,1,2,0,0,0
46,2,2,1,0,0,0
47,2,1,2,0,0,0
48,3,1,1,0,0,0
49,1,2,2,0,0,0
50,1,2,1,0,0,0
51,1,1,2,0,0,0
52,1,2,1,0,0,0
53,1,1,2,0,0,0
54,3,2,1,0,0,0
55,3,1,1,0,0,0
56,1,1,2,0,0,0
57,3,1,1,0,0,0
58,3,1,1,0,0,0
59,1,1,2,0,0,0
60,2,2,1,0,0,0
61,1,1,2,0,0,0
62,3,1,2,0,0,0
63,3,2,2,0,0,0
64,3,2,2,0,0,0
65,1,2,1,0,0,0
66,2,2,2,0,0,0
67,2,2,2,0,0,0
68,2,1,2,0,0,0
69,2,1,1,0,0,0
70,1,1,2,0,0,0
71,1,2,2,0,0,0
72,3,1,1,0,0,0
73,2,2,2,0,0,0
74,3,2,2,0,0,0
75,1,1,1,0,0,0
76,2,1,2,0,0,0
77,1,1,1,0,0,0
78,1,2,2,0,0,0
79,3,2,1,0,0,0
80,3,2,2,0,0,0
81,2,2,1,0,0,0
82,1,2,1,0,0,0
83,2,1,1,0,0,0
84,2,1,2,0,0,0
85,3,1,1,0,0,0
86,1,1,1,0,0,0
87,2,2,2,0,0,0
88,3,2,1,0,0,0
89,1,2,1,0,0,0
90,1,1,1,0,0,0
91,2,1,2,0,0,0
92,2,2,2,0,0,0
93,2,1,2,0,0,0
94,3,1,2,0,0,0
95,1,1,2,0,0,0
96,1,2,1,0,0,0
97,2,2,2,0,0,0
98,1,2,1,0,0,0
99,3,2,2,0,0,0
100,3,2,1,0,0,0
101,2,1,1,0,0,0
102,1,2,2,0,0,0
103,1,2,2,0,0,0
104,1,2,2,0,0,0
105,1,2,1,0,0,0
106,2,2,1,0,0,0
107,3,1,1,0,0,0
108,3,2,1,0,0,0
109,3,1,1,0,0,0
110,2,1,2,0,0,0
111,2,2,1,0,0,0
112,3,2,1,0,0,0
113,2,2,1,0,0,0
114,2,1,2,0,0,0
115,3,1,2,0,0,0
116,2,2,2,0,0,0
117,3,1,1,0,0,0
118,3,1,1,0,0,0
119,3,2,2,0,0,0
120,1,2,1,0,0,0
121,2,1,2,0,0,0
122,1,2,1,0,0,0
123,2,1,2,0,0,0
124,1,1,1,0,0,0
125,2,1,1,0,0,0
126,1,1,1,0,0,0
127,1,2,2,0,0,0
128,2,1,1,0,0,0
129,3,2,2,0,0,0
130,2,2,1,0,0,0
131,1,1,1,0,0,0
132,2,2,1,0,0,0
133,1,1,2,0,0,0
134,3,2,1,0,0,0
135,2,1,2,0,0,0
136,2,2,1,0,0,0
137,2,2,2,0,0,0
138,3,1,1,0,0,0
139,3,2,2,0,0,0
140,2,2,1,1,0.545651500000531,0
141,3,1,1,0,0,0
142,3,1,1,0,0,0
143,2,2,1,0,0,0
144,2,2,2,0,0,0
145,3,2,2,0,0,0
146,3,2,2,0,0,0
147,2,1,1,0,0,0
148,3,1,2,0,0,0
149,1,1,1,0,0,0
150,3,2,2,0,0,0
151,2,2,2,0,0,0
152,3,2,1,0,0,0
153,3,2,2,0,0,0
154,3,2,2,0,0,0
155,1,2,1,0,0,0
156,2,1,1,0,0,0
157,3,2,2,0,0,0
158,3,2,2,0,0,0
159,2,2,1,0,0,0
160,2,2,2,0,0,0
161,1,2,2,0,0,0
162,1,1,1,0,0,0
163,3,1,2,0,0,0
164,3,1,1,0,0,0
165,2,1,2,0,0,0
166,3,2,1,0,0,0
167,2,2,1,0,0,0
168,3,1,1,0,0,0
169,2,1,2,0,0,0
170,1,2,2,0,0,0
171,3,1,1,0,0,0
172,1,1,1,0,0,0
173,2,1,1,0,0,0
174,3,1,1,0,0,0
175,1,1,1,0,0,0
176,1,1,1,0,0,0
177,3,1,1,0,0,0
178,2,2,1,0,0,0
179,3,1,2,0,0,0
180,3,1,2,0,0,0
181,2,1,2,0,0,0
182,2,1,2,0,0,0
183,2,1,2,0,0,0
